name,esr_code,settlement_name,latitude,longitude,region
Чаусы,158002,Чаусы,52.405,33.2938888888889,
Чахлово (бп),303410,Чахлово,59.0305555555556,40.2194444444444,
Чашкан,667203,Чашкан,51.1144444444444,55.335,
Чашкино,768974,Чашкино,56.0672222222222,54.5822222222222,
Чашники,168305,Чашники,53.8672222222222,32.9036111111111,
Чаща,058800,Чаща,55.4063888888889,85.2588888888889,
Чащинский (рзд),271440,Чащинский,58.9483333333333,49.3919444444444,
ЧАГАСИ,248042,Чагаси,55.4677777777778,47.3516666666667,
Чебаково,312621,Чебаково,57.8302777777778,52.6716666666667,
Чебаркуль,805209,Чебаркуль,55.2122222222222,58.4269444444444,
Чебачий (обп),835577,Чебачий,47.5663888888889,40.9225,
Чебеньки,812700,Чебеньки,51.9377777777778,55.7038888888889,
Чебоксары,248504,Чебоксары,56.2897222222222,47.1955555555556,
Чебсара,302009,Чебсара,59.2008333333333,38.835,
Чегдомын,917207,Чегдомын,51.1372222222222,133.033611111111,
Чекмень,772927,Чекмень,58.4130555555556,59.4636111111111,
Чекон (рзд),522610,Чекон,45.105,37.5080555555556,
Челбас,525318,Челбас,45.6288888888889,40.4033333333333,
Челновая,604401,Челновая,54.9047222222222,32.8355555555556,
Челутай,937906,Челутай,51.7566666666667,108.379166666667,
Челюскин,464400,Челюскин,52.3925,34.0983333333333,
Челябинск-Главный,800008,Челябинск,55.1644,61.4368,
Чемизовка,608859,Чемизовка,51.9752777777778,45.1013888888889,
Чемитоквадже (рзд),533140,Чемитоквадже,43.8358333333333,39.4205555555556,
Чемодановка,223502,Чемодановка,56.7688888888889,38.0775,
Чепца,761848,Чепца,57.8908333333333,53.4125,
Червленная,542506,Червленная,43.5027777777778,45.8855555555556,
Червленная-Узловая,542510,Червленная-Узловая,43.4477777777778,45.9777777777778,
Червоное Озеро (рзд),413606,Червоное,45.4744444444444,34.665,
Чердаклы,646009,Чердаклы,54.36,48.8488888888889,
Черевково,512021,Черевково,61.7813888888889,45.2694444444444,
Черемас (рзд),268715,Черемас,55.6725,43.8227777777778,
Черемисиново,209204,Черемисиново,51.8866666666667,37.2630555555556,
Черемуха,281000,Черемуха,46.5030555555556,48.3691666666667,
Черемушки,325829,Черемушки,56.2313888888889,33.4952777777778,
Черемхово,930907,Черемхово,50.5794444444444,110.156944444444,
Черемшан (рзд),651347,Черемшан,55.2611111111111,48.1125,
Черемшанка,713401,Черемшанка,55.6541666666667,101.576666666667,
Черепаново,852407,Черепаново,59.3325,36.7183333333333,
Черепеть,212902,Черепеть,54.1175,36.3838888888889,
Череповец I,302304,Череповец,59.1275,37.9069444444444,
Череповец II,302507,Череповец,59.1275,37.9069444444444,
Череха,070408,Череха,57.7491666666667,28.37,
Черкасская,588507,Черкасская,52.6952777777778,35.7966666666667,
Черкассы,424206,Черкассы,52.6930555555556,38.72,
Черкесск,531003,Черкесск,44.2266666666667,42.0466666666667,
Черкизово,199252,Черкизово,55.1938888888889,38.7388888888889,
Черлак,835308,Черлак,53.8794444444444,75.1136111111111,
Черманчет,895008,Черманчет,56.8761111111111,97.6838888888889,
Чернавка,624208,Чернавка,51.6927777777778,40.38,
Черная,925523,Чёрная,58.6997222222222,30.2136111111111,
Черная Речка,258610,Черная Речка,54.0552777777778,51.7333333333333,
Чернец,185866,Чернец,53.2994444444444,33.9369444444444,
Черниговка,818800,Черниговка,44.3355555555556,132.585,
Черниковка-Восточная,654805,ЛПДС Черкассы,54.901988,56.147203,
