Четверг 12 мар.2026г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ОСТАНОВОЧНЫХ ПУНКТОВ И ПЛАТФОРМ,,,,,
№ п/п,Наименование пункта,Операции,Дорога,Код станции,
  229.,Асановский,О,13 Бел,163528,
  230.,Асари,О,09 Лат,097237,
  231.,Асеевка,О,13 Бел,144828,
  232.,Асеевский,О,28 Сев (Р),280721,
  233.,Асино,О,13 Бел,144438,
  234.,Ассы,О,63 Кбш (Р),653937,
  235.,Астаховка,О,68 Кзх,673420,
  236.,Астраханский,О,61 Прив (Р),620086,
  237.,Астрачи,Б,01 Окт (Р),047420,
  238.,Атгазене,О,09 Лат,091014,
  239.,Атер,О,24 Горьк (Р),258319,
  240.,Атлашкино,О,24 Горьк (Р),251112,
  241.,Атыково,О,24 Горьк (Р),248139,
  242.,Атюхта,О,51 С-Кав (Р),512765,
  243.,Аури,О,09 Лат,092835,
  244.,Ауце,О,09 Лат,099514,
  245.,Афросимовский,О,61 Прив (Р),608718,
  246.,Ахалдаба,Б,57 Грз,577505,
  247.,Ахалкалаки-Пассажирская,О,57 Грз,563216,
  248.,Ахалцихе-Пассажирская,П,57 Грз,578423,
  249.,Ахашени,О,57 Грз,561920,
  250.,Ахтамар,О,56 Ю-Кав,568924,
  251.,Ахун,О,51 С-Кав (Р),532843,
  252.,Ацоне,О,09 Лат,090079,
  253.,Ачадара,О,57 Грз,573913,
  254.,Ачакс,О,24 Горьк (Р),245546,
  255.,Ачка,Б,24 Горьк (Р),245018,
  256.,Ачунанда,О,94 Заб (Р),949316,
  257.,Аше,О,51 С-Кав (Р),533225,
  258.,Ашенда,О,57 Грз,579233,
  259.,Ашкадар,О,63 Кбш (Р),652725,
  260.,Ашмарино,О,83 З-Сиб (Р),865017,
  261.,Ашукинская,О,17 Моск (Р),236019,
  262.,Ашурково,О,48 Дон (У),491732,
  263.,Ашурково,О,89 89-я дорога,957280,
  264.,Аэродром,О,88 Крас (Р),880619,
  265.,Аэродром,О,88 Крас (Р),893430,
  266.,Аэропорт,О,01 Окт (Р),034825,
  267.,Аэропорт,О,57 Грз,560186,
  268.,Аэропорт Волгоград,О,61 Прив (Р),610718,
  269.,Аэропорт Гагарин ,О,61 Прив (Р),623879,
  270.,Аэропорт Кневичи,Б,96 Д-Вост (Р),982167,
  271.,Аэропорт Сочи,О,51 С-Кав (Р),532720,
  272.,Аэропорт-Домодедово,О,17 Моск (Р),193114,
  273.,Аэропорт-Курумоч,О,63 Кбш (Р),637528,
  274.,Аэрофлот,О,83 З-Сиб (Р),850134,
  275.,Аязгулова,О,80 Ю-Ур (Р),802959,
  276.,Бабаковка,О,32 Ю-Зап (У),329247,
  277.,Бабанаково,О,83 З-Сиб (Р),862316,
  278.,Бабариковская,О,43 Южн (У),443714,
  279.,Бабаюрт,Б,51 С-Кав (Р),542239,
  280.,Бабаяров,О,73 Узбк,724317,
  281.,Бабенково,О,43 Южн (У),447335,
  282.,Бабики,О,76 Сверд (Р),762126,
  283.,Бабинка,О,17 Моск (Р),200411,
  284.,Бабино,О,01 Окт (Р),042342,
  285.,Бабино,О,13 Бел,147718,
  286.,Бабино II,О,01 Окт (Р),042291,
  287.,Бабите,О,09 Лат,096747,
  288.,Бабичевский,О,32 Ю-Зап (У),348125,
  289.,Бабовня,О,51 С-Кав (Р),588139,
  290.,Бабошино,О,17 Моск (Р),212419,
  291.,Бабха,О,92 В-Сиб (Р),933712,
  292.,Багеровский Ров,О,85 Крым (Р),867313,
  293.,Баглаи,О,32 Ю-Зап (У),330297,
  294.,Багнашени,О,57 Грз,574225,
  295.,Багримово,О,28 Сев (Р),313323,
  296.,Багриновка,О,35 Льв (У),368612,
  297.,Багул,Б,76 Сверд (Р),767026,
  298.,Багульная II,О,92 В-Сиб (Р),924499,
  299.,Багульная III,О,92 В-Сиб (Р),924516,
  300.,Бадаложный,О,88 Крас (Р),890521,
  301.,Бадиаури,Б,57 Грз,561403,
  302.,Бадовка,Б,32 Ю-Зап (У),341111,
  303.,Бадряш,О,24 Горьк (Р),257725,
  304.,Баевка,О,10 Клг (Р),104341,
  305.,Баевка II,О,10 Клг (Р),104322,
  306.,Бажикаева,О,80 Ю-Ур (Р),803114,
  307.,База,О,43 Южн (У),428353,
  308.,База МК,О,88 Крас (Р),887054,
  309.,База ПМС,О,76 Сверд (Р),772537,
  310.,База ПМС,О,92 В-Сиб (Р),937639,
  311.,Базалети,О,57 Грз,576729,
  312.,Байгул,О,68 Кзх,676486,
  313.,Байдаковка,О,40 Од (У),410420,
  314.,Байдеряково,О,63 Кбш (Р),644246,
  315.,Байдики,О,17 Моск (Р),210517,
  316.,Байкальск-Пригородный,Б,92 В-Сиб (Р),933727,
  317.,Байкальский Прибой,О,92 В-Сиб (Р),934683,
  318.,Байкальский тракт,О,92 В-Сиб (Р),922614,
  319.,Байлянгар,О,24 Горьк (Р),253635,
  320.,Байорай,О,12 Лит,107814,
  321.,Байрам,О,51 С-Кав (Р),542718,
  322.,Байцетуй,О,94 Заб (Р),947611,
  323.,Бака Булак,О,68 Кзх,698220,
  324.,Бакач,О,01 Окт (Р),057422,
  325.,Бакинская,О,61 Прив (Р),610012,
  326.,Бакланово,О,32 Ю-Зап (У),325034,
  327.,Бакланское,О,80 Ю-Ур (Р),827960,
  328.,Баклань,О,92 В-Сиб (Р),934132,
  329.,Баковка,О,17 Моск (Р),181757,
  330.,Бакор,О,61 Прив (Р),623690,
  331.,Бакунино,О,01 Окт (Р),068821,
  332.,Бакурцихе,О,57 Грз,561846,
  333.,Бакшеевка,Б,43 Южн (У),433328,
  334.,Бакэлектроавтомат,О,55 Азерб,547711,
  335.,Балабек,О,55 Азерб,551844,
  336.,Балабино,О,45 Придн (У),460715,
  337.,Балага,О,92 В-Сиб (Р),924319,
  338.,Балаклея I,О,40 Од (У),422728,
  339.,Балаклея II,О,40 Од (У),422713,
  340.,Балево,О,17 Моск (Р),212724,
  341.,Балкунай,О,12 Лит,123639,
  342.,Балластный карьер,О,83 З-Сиб (Р),865450,
  343.,Балтамишкис,Б,12 Лит,120950,
  344.,Балтэзерс,О,09 Лат,095513,
  345.,Балыкты,О,68 Кзх,673435,
  346.,Балынци,О,35 Льв (У),388832,
  347.,Балышур,О,24 Горьк (Р),274326,
  348.,Банилов,О,35 Льв (У),389426,
  349.,Банная Гора,О,76 Сверд (Р),760648,
  350.,Барановка,П,01 Окт (Р),062149,
  351.,Барановка,О,61 Прив (Р),623968,
  352.,Барановка,О,80 Ю-Ур (Р),805054,
  353.,Бараново,О,17 Моск (Р),210610,
  354.,Бараново,О,43 Южн (У),449311,
  355.,Баранье,Б,32 Ю-Зап (У),341221,
  356.,Бараташвили,О,57 Грз,573843,
  357.,Барвиновка,О,32 Ю-Зап (У),348036,
  358.,Барвиновка,О,40 Од (У),411210,
  359.,Барвинок,О,40 Од (У),414736,
  360.,Барвиха,О,17 Моск (Р),181846,
  361.,Баритная,Б,80 Ю-Ур (Р),806517,
  362.,Баркалабово,О,13 Бел,156127,
  363.,Барлак,О,83 З-Сиб (Р),851643,
